hyponym,hypo-definition,hypernym,hyper-definition
black,"""offering little or no hope""",desperate,"""arising from or marked by despair or loss of hope"""
bland,"""lacking taste or flavor or tang""",unflavored,"""without flavoring added"""
bland,"""lacking taste or flavor or tang""",tasteless,"""lacking flavor"""
blonde,"""being or having light colored skin and hair and usually blue or grey eyes""",light,"""a divine presence believed by Quakers to enlighten and guide the soul"""
bloody,"""having or covered with or accompanied by blood""",gory,"""covered with blood"""
blue,"""of the color intermediate between green and violet; having a color similar to that of a clear unclouded sky""",vivid,"""evoking lifelike images within the mind"""
blue,"""of the color intermediate between green and violet; having a color similar to that of a clear unclouded sky""",colored,"""having color or a certain color; sometimes used in combination"""
blue,"""of the color intermediate between green and violet; having a color similar to that of a clear unclouded sky""",colorful,"""having much or varied color"""
blue,"""of the color intermediate between green and violet; having a color similar to that of a clear unclouded sky""",chromatic,"""able to refract light without spectral color separation"""
bodily,"""of or relating to or belonging to the body""",biological,"""pertaining to biology or to life and living things"""
bodily,"""of or relating to or belonging to the body""",material,"""concerned with worldly rather than spiritual interests"""
bold,"""fearless and daring""",fearless,"""oblivious of dangers or perils or calmly resolute in facing them"""
bored,"""tired of the world""",tired,"""depleted of strength or energy"""
bored,"""tired of the world""",discontented,"""showing or experiencing dissatisfaction or restless longing"""
bottom,"""situated at the bottom or lowest position""",basal,"""especially of leaves; located at the base of a plant or stem; especially arising directly from the root or rootstock or a root-like stem"""
bottom,"""situated at the bottom or lowest position""",inferior,"""of or characteristic of low rank or importance"""
brief,"""of short duration or distance""",temporary,"""not permanent; not lasting"""
brilliant,"""of surpassing excellence""",superior,"""the largest freshwater lake in the world; the deepest of the Great Lakes"""
broad,"""having great (or a certain) extent from one side to the other""",great,"""relatively large in size or number or extent; larger than others of its kind"""
broken,"""physically and forcibly separated into pieces or cracked or split""",fractured,"""nan"""
broken,"""physically and forcibly separated into pieces or cracked or split""",defective,"""having a defect"""
brown,"""Scottish botanist who first observed the movement of small particles in fluids now known a Brownian motion (1773-1858)""",british,"""of or relating to or characteristic of Great Britain or its people or culture"""
brown,"""Scottish botanist who first observed the movement of small particles in fluids now known a Brownian motion (1773-1858)""",scientific,"""of or relating to the practice of science"""
brown,"""Scottish botanist who first observed the movement of small particles in fluids now known a Brownian motion (1773-1858)""",historical,"""of or relating to the study of history"""
burning,"""of immediate import""",important,"""of great significance or value"""
busy,"""actively or fully engaged or occupied""",active,"""tending to become more severe or wider in scope"""
busy,"""actively or fully engaged or occupied""",involved,"""connected by participation or association or use"""
calm,"""(of weather) free from storm or wind""",peaceful,"""not disturbed by strife or turmoil or war"""
calm,"""(of weather) free from storm or wind""",mild,"""moderate in type or degree or effect or force; far from extreme"""
capable,"""(usually followed by ‘of’) having capacity or ability""",competent,"""properly or sufficiently qualified or capable or efficient"""
careful,"""exercising caution or showing care or attention""",cautious,"""showing careful forethought"""
causal,"""involving or constituting a cause; causing""",influential,"""having or exercising influence or power"""
central,"""in or near a center or constituting a center; the inner area""",principal,"""most important element"""
certain,"""having or feeling no doubt or uncertainty; confident and assured""",positive,"""characterized by or displaying affirmation or acceptance or certainty etc."""
changing,"""marked by continuous change or effective action""",mutable,"""capable of or tending to change in form or quality or nature"""
changing,"""marked by continuous change or effective action""",active,"""tending to become more severe or wider in scope"""
characteristic,"""typical or distinctive""",distinctive,"""of a feature that helps to distinguish a person or thing"""
characteristic,"""typical or distinctive""",general,"""applying to all or most members of a category or group"""
charming,"""pleasing or delighting""",appealing,"""able to attract interest or draw favorable attention"""
charming,"""pleasing or delighting""",delightful,"""greatly pleasing or entertaining"""
charming,"""pleasing or delighting""",attractive,"""pleasing to the eye or mind especially through beauty or charm"""
cheap,"""relatively low in price or charging low prices""",economical,"""using the minimum of time or resources necessary for effectiveness"""
chemical,"""relating to or used in chemistry""",technical,"""of or relating to technique or proficiency in a practical skill"""
chief,"""most important element""",major,"""British statesman who was prime minister from 1990 until 1997 (born in 1943)"""
chief,"""most important element""",leading,"""indicating the most important performer or role"""
chosen,"""the name for Korea as a Japanese province (1910-1945)""",political,"""involving or characteristic of politics or parties or politicians"""
chosen,"""the name for Korea as a Japanese province (1910-1945)""",japanese,"""of or relating to or characteristic of Japan or its people or their culture or language"""
circular,"""having the shape or form of a circle""",shaped,"""shaped to fit by or as if by altering the contours of a pliable mass (as by work or effort)"""
circular,"""having the shape or form of a circle""",curved,"""having or marked by a curve or smoothly rounded bend"""
civic,"""of or relating or belonging to a city""",public,"""not private; open to or concerning the people as a whole"""
civic,"""of or relating or belonging to a city""",municipal,"""relating or belonging to or characteristic of a municipality"""
civil,"""not rude; marked by satisfactory (or especially minimal) adherence to social usages and sufficient but not noteworthy consideration for others""",considerate,"""showing concern for the rights and feelings of others"""
civilian,"""associated with civil life or performed by persons who are not active members of the military""",public,"""not private; open to or concerning the people as a whole"""
civilian,"""associated with civil life or performed by persons who are not active members of the military""",civil,"""applying to ordinary citizens as contrasted with the military"""
civilian,"""associated with civil life or performed by persons who are not active members of the military""",nonmilitary,"""not associated with soldiers or the military"""
classical,"""of or relating to the first significant period of a civilization, culture, area of study, etc.""",cultural,"""of or relating to the arts and manners that a group favors"""
clean,"""free from dirt or impurities; or having clean habits""",tidy,"""marked by order and cleanliness in appearance or habits"""
clear,"""free from clouds or mist or haze""",unobstructed,"""free from impediment or obstruction or hindrance"""
clinical,"""relating to a clinic or conducted in or as if in a clinic and depending on direct observation of patients""",observational,"""relying on observation or experiment"""
clinical,"""relating to a clinic or conducted in or as if in a clinic and depending on direct observation of patients""",professional,"""engaged in a profession or engaging in as a profession or means of livelihood"""
clinical,"""relating to a clinic or conducted in or as if in a clinic and depending on direct observation of patients""",practical,"""concerned with actual use or practice"""
close,"""close in relevance or relationship""",relevant,"""having a bearing on or connection with the subject at issue"""
close,"""close in relevance or relationship""",pertinent,"""having precise or logical relevance to the matter at hand"""
closed,"""not open or affording passage or access""",blocked,"""closed to traffic"""
closed,"""not open or affording passage or access""",obstructed,"""shut off to passage or view or hindered from action"""
closed,"""not open or affording passage or access""",restricted,"""subject to restriction or subjected to restriction"""
closed,"""not open or affording passage or access""",inaccessible,"""capable of being reached only with great difficulty or not at all"""
coastal,"""of or relating to a coast""",marine,"""a member of the United States Marine Corps"""
coherent,"""marked by an orderly, logical, and aesthetically consistent relation of parts""",orderly,"""devoid of violence or disruption"""
collective,"""forming a whole or aggregate""",total,"""constituting the full quantity or extent; complete"""
collective,"""forming a whole or aggregate""",integrated,"""formed or united into a whole"""
colonial,"""of or relating to or characteristic of or inhabiting a colony""",political,"""involving or characteristic of politics or parties or politicians"""
colonial,"""of or relating to or characteristic of or inhabiting a colony""",historical,"""of or relating to the study of history"""
colonial,"""of or relating to or characteristic of or inhabiting a colony""",imperial,"""relating to or associated with an empire"""
comfortable,"""providing or experiencing physical well-being or relief (‘comfy’ is informal)""",agreeable,"""conforming to your own liking or feelings or nature"""
coming,"""of the relatively near future""",impending,"""close in time; about to occur"""
coming,"""of the relatively near future""",prospective,"""of or concerned with or related to the future"""
commercial,"""connected with or engaged in or sponsored by or used in commerce or commercial enterprises""",financial,"""involving financial matters"""
common,"""belonging to or participated in by a community as a whole; public""",general,"""applying to all or most members of a category or group"""
common,"""common to or shared by two or more parties""",collective,"""done by or characteristic of individuals acting together"""
common,"""common to or shared by two or more parties""",shared,"""have in common; held or experienced in common"""
common,"""common to or shared by two or more parties""",general,"""applying to all or most members of a category or group"""
common,"""having no special distinction or quality; widely known or commonly encountered; average or ordinary or usual""",general,"""applying to all or most members of a category or group"""
comparable,"""able to be compared or worthy of comparison""",measurable,"""capable of being measured"""
comparable,"""able to be compared or worthy of comparison""",similar,"""marked by correspondence or resemblance"""
comparable,"""able to be compared or worthy of comparison""",assessable,"""capable of being assessed especially for the purpose of taxation"""
compatible,"""able to exist and perform in harmonious or agreeable combination""",suitable,"""meant or adapted for an occasion or use"""
competent,"""properly or sufficiently qualified or capable or efficient""",proficient,"""having or showing knowledge and skill and aptitude"""
complete,"""having every necessary or normal part or component or step""",entire,"""constituting the full quantity or extent; complete"""
compulsory,"""required by rule""",obligatory,"""morally or legally constraining or binding"""
conceptual,"""being or characterized by concepts or their formation""",cognitive,"""of or being or relating to or involving cognition"""
concrete,"""capable of being perceived by the senses; not abstract or imaginary""",real,"""being or occurring in fact or actuality; having verified existence; not illusory"""
confident,"""having or marked by confidence or assurance""",self-assured,"""showing poise and confidence in your own worth"""
confident,"""having or marked by confidence or assurance""",bold,"""fearless and daring"""
confident,"""having or marked by confidence or assurance""",optimistic,"""expecting the best in this best of all possible worlds"""
confidential,"""entrusted with private information and the confidence of another""",reliable,"""worthy of reliance or trust"""
confidential,"""entrusted with private information and the confidence of another""",private,"""confined to particular persons or groups or providing privacy"""
confidential,"""entrusted with private information and the confidence of another""",trusted,"""(of persons) worthy of trust or confidence"""
conscious,"""knowing and perceiving; having awareness of surroundings and sensations and thoughts""",cognitive,"""of or being or relating to or involving cognition"""
conservative,"""resistant to change, particularly in relation to politics or religion""",resistant,"""relating to or conferring immunity (to disease or infection)"""
consistent,"""(sometimes followed by ‘with’) in agreement or consistent or reliable""",stable,"""resistant to change of position or condition"""
consistent,"""(sometimes followed by ‘with’) in agreement or consistent or reliable""",reliable,"""worthy of reliance or trust"""
constant,"""steadfast in purpose or devotion or affection""",steadfast,"""marked by firm determination or resolution; not shakable"""
constant,"""steadfast in purpose or devotion or affection""",dedicated,"""devoted to a cause or ideal or purpose"""
continental,"""of or pertaining to or typical of Europe""",western,"""a film about life in the western United States during the period of exploration and development"""
continued,"""without stop or interruption""",persistent,"""never-ceasing"""
continuing,"""remaining in force or being carried on without letup""",enduring,"""lasting a long time"""
continuous,"""continuing in time or space without interruption""",persistent,"""never-ceasing"""
contrary,"""very opposed in nature or character or purpose""",conflicting,"""in disagreement"""
controversial,"""marked by or capable of arousing controversy""",problematic,"""open to doubt or debate"""
controversial,"""marked by or capable of arousing controversy""",debated,"""nan"""
controversial,"""marked by or capable of arousing controversy""",debatable,"""open to doubt or debate"""
controversial,"""marked by or capable of arousing controversy""",questionable,"""subject to question"""
controversial,"""marked by or capable of arousing controversy""",contentious,"""inclined or showing an inclination to dispute or disagree, even to engage in law suits"""
controversial,"""marked by or capable of arousing controversy""",disputed,"""subject to disagreement and debate"""
conventional,"""following accepted customs and proprieties""",customary,"""in accordance with convention or custom"""
conventional,"""following accepted customs and proprieties""",normal,"""conforming with or constituting a norm or standard or level or type or social norm; not abnormal"""
convincing,"""causing one to believe the truth of something""",compelling,"""force somebody to do something"""
convincing,"""causing one to believe the truth of something""",effective,"""producing or capable of producing an intended result or having a striking effect"""
cooperative,"""done with or working with others for a common purpose or benefit""",collaborative,"""accomplished by collaboration"""
cooperative,"""done with or working with others for a common purpose or benefit""",social,"""relating to human society and its members"""
corporate,"""of or belonging to a corporation""",organizational,"""of or relating to an organization"""
corresponding,"""accompanying""",accompanying,"""occurring with or following as a consequence"""
costly,"""entailing great loss or sacrifice""",valuable,"""having great material or monetary value especially for use or exchange"""
costly,"""entailing great loss or sacrifice""",significant,"""important in effect or meaning"""
costly,"""entailing great loss or sacrifice""",expensive,"""high in price or charging high prices"""
crazy,"""affected with madness or insanity""",abnormal,"""not normal; not typical or usual or regular or conforming to a norm"""
creative,"""having the ability or power to create""",ingenious,"""showing inventiveness and skill"""
creative,"""having the ability or power to create""",imaginative,"""(used of persons or artifacts) marked by independence and creativity in thought or action"""
creative,"""having the ability or power to create""",innovative,"""ahead of the times"""
creative,"""having the ability or power to create""",resourceful,"""having inner resources; adroit or imaginative"""
critical,"""being in or verging on a state of crisis or emergency""",dangerous,"""involving or causing danger or risk; liable to hurt or harm"""
crucial,"""of extreme importance; vital to the resolution of a crisis""",vital,"""urgently needed; absolutely necessary"""
cultural,"""of or relating to the arts and manners that a group favors""",artistic,"""relating to or characteristic of art or artists"""
cultural,"""of or relating to the arts and manners that a group favors""",human,"""characteristic of humanity"""
dangerous,"""involving or causing danger or risk; liable to hurt or harm""",threatening,"""threatening or foreshadowing evil or tragic developments"""
dangerous,"""involving or causing danger or risk; liable to hurt or harm""",risky,"""involving risk or danger"""
dangerous,"""involving or causing danger or risk; liable to hurt or harm""",hazardous,"""involving risk or danger"""
dangerous,"""involving or causing danger or risk; liable to hurt or harm""",perilous,"""fraught with danger"""
dead,"""no longer having or seeming to have or expecting to have life""",extinct,"""no longer in existence; lost or especially having died out leaving no living representatives"""
dead,"""no longer having or seeming to have or expecting to have life""",inert,"""unable to move or resist motion"""
dead,"""no longer having or seeming to have or expecting to have life""",nonliving,"""not endowed with life"""
dead,"""no longer having or seeming to have or expecting to have life""",inanimate,"""belonging to the class of nouns denoting nonliving things"""
deadly,"""causing or capable of causing death""",fatal,"""bringing death"""
deaf,"""lacking or deprived of the sense of hearing wholly or in part""",sensory,"""of a nerve fiber or impulse originating outside and passing toward the central nervous system"""
deaf,"""lacking or deprived of the sense of hearing wholly or in part""",handicapped,"""injure permanently"""
dear,"""dearly loved""",cherished,"""characterized by feeling or showing fond affection for"""
dear,"""dearly loved""",affectionate,"""having or displaying warmth or affection"""
decent,"""conforming to conventions of sexual behavior""",moral,"""concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles"""
deep,"""relatively deep or strong; affecting one deeply""",powerful,"""having great power or force or potency or effect"""
deep,"""relatively deep or strong; affecting one deeply""",profound,"""showing intellectual penetration or emotional depth"""
definite,"""precise; explicit and clearly defined""",unambiguous,"""having or exhibiting a single clearly defined meaning"""
definite,"""precise; explicit and clearly defined""",explicit,"""precisely and clearly expressed or readily observable; leaving nothing to implication"""
deliberate,"""carefully thought out in advance""",purposeful,"""serving as or indicating the existence of a purpose or goal"""
delicate,"""exquisitely fine and subtle and pleasing; susceptible to injury""",pleasing,"""giving pleasure and satisfaction"""
delicious,"""variety of sweet eating apples""",palatable,"""acceptable to the taste or mind"""
delicious,"""variety of sweet eating apples""",flavorful,"""full of flavor"""
delicious,"""variety of sweet eating apples""",edible,"""suitable for use as food"""
delighted,"""greatly pleased""",glad,"""showing or causing joy and pleasure; especially made happy"""
delighted,"""greatly pleased""",happy,"""enjoying or showing or marked by joy or pleasure"""
dense,"""permitting little if any light to pass through because of denseness of matter""",dark,"""devoid of or deficient in light or brightness; shadowed or black"""
departmental,"""of or relating to a department""",institutional,"""relating to or constituting or involving an institution"""
departmental,"""of or relating to a department""",administrative,"""of or relating to or responsible for administration"""
dependent,"""relying on or requiring a person or thing for support, supply, or what is needed""",subservient,"""compliant and obedient to authority"""
dependent,"""relying on or requiring a person or thing for support, supply, or what is needed""",needy,"""poor enough to need help from others"""
depending,"""being determined by conditions or circumstances that follow""",circumstantial,"""fully detailed and specific about particulars"""
depending,"""being determined by conditions or circumstances that follow""",variable,"""liable to or capable of change"""
depressed,"""lower than previously""",diminished,"""impaired by diminution"""
desirable,"""worth having or seeking or achieving""",valuable,"""having great material or monetary value especially for use or exchange"""
desirable,"""worth having or seeking or achieving""",positive,"""characterized by or displaying affirmation or acceptance or certainty etc."""
desired,"""wanted intensely""",coveted,"""much wanted"""
desperate,"""arising from or marked by despair or loss of hope""",hopeless,"""without hope because there seems to be no possibility of comfort or success"""
desperate,"""arising from or marked by despair or loss of hope""",distressed,"""facing or experiencing financial trouble or difficulty"""
determined,"""having been learned or found or determined especially by investigation""",known,"""be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about"""
determined,"""having been learned or found or determined especially by investigation""",established,"""brought about or set up or accepted; especially long established"""
developed,"""being changed over time so as to be e.g. stronger or more complete or more useful""",mature,"""characteristic of maturity"""
developing,"""relating to societies in which capital needed to industrialize is in short supply""",economic,"""of or relating to an economy, the system of production and management of material wealth"""
devoted,"""zealous in devotion or affection""",enthusiastic,"""having or showing great excitement and interest"""
different,"""unlike in nature or quality or form or degree""",diverse,"""many and different"""
different,"""unlike in nature or quality or form or degree""",varied,"""characterized by variety"""
differential,"""relating to or showing a difference""",different,"""unlike in nature or quality or form or degree"""
difficult,"""not easy; requiring great physical or mental effort to accomplish or comprehend or endure""",complex,"""complicated in structure; consisting of interconnected parts"""
digital,"""displaying numbers rather than scale positions""",electronic,"""of or relating to electronics; concerned with or using devices that operate on principles governing the behavior of electrons"""
diplomatic,"""relating to or characteristic of diplomacy""",tactful,"""having or showing a sense of what is fitting and considerate in dealing with others"""
direct,"""direct in spatial dimensions; proceeding without deviation or interruption; straight and short""",linear,"""designating or involving an equation whose terms are of the first degree"""
disabled,"""the total or partial absence of a person's bodily or mental functions, including the absence of a part of a person's body""",affected,"""acted upon; influenced"""
disabled,"""the total or partial absence of a person's bodily or mental functions, including the absence of a part of a person's body""",limited,"""small in range or scope"""
disastrous,"""(of events) having extremely unfortunate or dire consequences; bringing ruin""",negative,"""characterized by or displaying negation or denial or opposition or resistance; having no positive features"""
discreet,"""marked by prudence or modesty and wise self-restraint""",cautious,"""showing careful forethought"""
discreet,"""marked by prudence or modesty and wise self-restraint""",restrained,"""cool and formal in manner"""
distinct,"""easy to perceive; especially clearly outlined""",noticeable,"""capable or worthy of being noticed"""
distinctive,"""of a feature that helps to distinguish a person or thing""",special,"""unique or specific to a person or thing or category"""
diverse,"""many and different""",multiple,"""having or involving or consisting of more than one part or entity or individual"""
domestic,"""of or relating to the home""",home,"""used of your own ground"""
domestic,"""of or relating to the home""",private,"""confined to particular persons or groups or providing privacy"""
dominant,"""exercising influence or control""",powerful,"""having great power or force or potency or effect"""
double,"""used of flowers having more than the usual number of petals in crowded or overlapping arrangements""",full,"""containing as much or as many as is possible or normal"""
