hyponym,hypo-definition,hypernym
armed,(used of persons or the military) characterized by having or bearing arms,militarized
armed,(used of persons or the military) characterized by having or bearing arms,prepared
armed,(used of persons or the military) characterized by having or bearing arms,military
arrogant,having or showing feelings of unwarranted importance out of overbearing pride,conceited
artificial,contrived by art rather than nature,synthetic
artificial,contrived by art rather than nature,man-made
artistic,relating to or characteristic of art or artists,imaginative
artistic,relating to or characteristic of art or artists,expressive
ashamed,feeling shame or guilt or embarrassment or remorse,embarrassed
ashamed,feeling shame or guilt or embarrassment or remorse,guilty
asleep,in a state of sleep,resting
assistant,of or relating to a person who is subordinate to another,secondary
assistant,of or relating to a person who is subordinate to another,dependent
assistant,of or relating to a person who is subordinate to another,auxiliary
astonishing,surprising greatly,extraordinary
atomic,of or relating to or comprising atoms,material
atomic,of or relating to or comprising atoms,chemical
atomic,of or relating to or comprising atoms,physical
attempted,tried unsuccessfully,fruitless
automatic,operating with minimal human intervention; independent of external control,self-sufficient
automatic,operating with minimal human intervention; independent of external control,self-operating
available,obtainable or accessible and ready for use or service,obtainable
average,approximating the statistical norm or average or expected value,standard
awful,offensive or even (of persons) malicious,evil
awful,offensive or even (of persons) malicious,bad
back,related to or located at the back,dorsal
balanced,being in a state of proper equilibrium,even
bald,with no effort to conceal,exposed
bare,not having a protective covering,defenseless
basic,pertaining to or constituting a base or basis,underlying
beautiful,delighting the senses or exciting intellectual or emotional admiration,appealing
beautiful,delighting the senses or exciting intellectual or emotional admiration,pleasing
beneficial,promoting or enhancing well-being,constructive
big,above average in size or number or quantity or magnitude or extent,substantial
binding,executed with proper legal authority,official
biological,pertaining to biology or to life and living things,organic
biological,pertaining to biology or to life and living things,physical
biological,pertaining to biology or to life and living things,living
biological,pertaining to biology or to life and living things,scientific
bitter,causing a sharp and acrid taste experience,pungent
bitter,marked by strong resentment or cynicism,negative
bizarre,conspicuously or grossly unconventional or unusual,peculiar
black,being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light,achromatic
black,offering little or no hope,dire
black,offering little or no hope,desperate
bland,lacking taste or flavor or tang,unflavored
bland,lacking taste or flavor or tang,tasteless
blonde,being or having light colored skin and hair and usually blue or grey eyes,light
bloody,having or covered with or accompanied by blood,gory
blue,of the color intermediate between green and violet; having a color similar to that of a clear unclouded sky,vivid
blue,of the color intermediate between green and violet; having a color similar to that of a clear unclouded sky,colored
blue,of the color intermediate between green and violet; having a color similar to that of a clear unclouded sky,colorful
blue,of the color intermediate between green and violet; having a color similar to that of a clear unclouded sky,chromatic
bodily,of or relating to or belonging to the body,biological
bodily,of or relating to or belonging to the body,material
bold,fearless and daring,fearless
bored,tired of the world,tired
bored,tired of the world,discontented
bottom,situated at the bottom or lowest position,basal
bottom,situated at the bottom or lowest position,inferior
brief,of short duration or distance,temporary
brilliant,of surpassing excellence,superior
broad,having great (or a certain) extent from one side to the other,great
broken,physically and forcibly separated into pieces or cracked or split,fractured
broken,physically and forcibly separated into pieces or cracked or split,defective
brown,Scottish botanist who first observed the movement of small particles in fluids now known a Brownian motion (1773-1858),british
brown,Scottish botanist who first observed the movement of small particles in fluids now known a Brownian motion (1773-1858),scientific
brown,Scottish botanist who first observed the movement of small particles in fluids now known a Brownian motion (1773-1858),historical
burning,of immediate import,important
busy,actively or fully engaged or occupied,active
busy,actively or fully engaged or occupied,involved
calm,(of weather) free from storm or wind,peaceful
calm,(of weather) free from storm or wind,mild
capable,(usually followed by ‘of’) having capacity or ability,competent
careful,exercising caution or showing care or attention,cautious
causal,involving or constituting a cause; causing,influential
central,in or near a center or constituting a center; the inner area,principal
certain,having or feeling no doubt or uncertainty; confident and assured,positive
changing,marked by continuous change or effective action,mutable
changing,marked by continuous change or effective action,active
characteristic,typical or distinctive,distinctive
characteristic,typical or distinctive,general
charming,pleasing or delighting,appealing
charming,pleasing or delighting,delightful
charming,pleasing or delighting,attractive
cheap,relatively low in price or charging low prices,economical
chemical,relating to or used in chemistry,technical
chief,most important element,major
chief,most important element,leading
chosen,the name for Korea as a Japanese province (1910-1945),political
chosen,the name for Korea as a Japanese province (1910-1945),japanese
circular,having the shape or form of a circle,shaped
circular,having the shape or form of a circle,curved
civic,of or relating or belonging to a city,public
civic,of or relating or belonging to a city,municipal
civil,not rude; marked by satisfactory (or especially minimal) adherence to social usages and sufficient but not noteworthy consideration for others,considerate
civilian,associated with civil life or performed by persons who are not active members of the military,public
civilian,associated with civil life or performed by persons who are not active members of the military,civil
civilian,associated with civil life or performed by persons who are not active members of the military,nonmilitary
classical,"of or relating to the first significant period of a civilization, culture, area of study, etc.",cultural
clean,free from dirt or impurities; or having clean habits,tidy
clear,free from clouds or mist or haze,unobstructed
clinical,relating to a clinic or conducted in or as if in a clinic and depending on direct observation of patients,observational
clinical,relating to a clinic or conducted in or as if in a clinic and depending on direct observation of patients,professional
clinical,relating to a clinic or conducted in or as if in a clinic and depending on direct observation of patients,practical
close,close in relevance or relationship,relevant
close,close in relevance or relationship,pertinent
closed,not open or affording passage or access,blocked
closed,not open or affording passage or access,obstructed
closed,not open or affording passage or access,restricted
closed,not open or affording passage or access,inaccessible
coastal,of or relating to a coast,marine
coherent,"marked by an orderly, logical, and aesthetically consistent relation of parts",orderly
collective,forming a whole or aggregate,total
collective,forming a whole or aggregate,integrated
colonial,of or relating to or characteristic of or inhabiting a colony,political
colonial,of or relating to or characteristic of or inhabiting a colony,historical
colonial,of or relating to or characteristic of or inhabiting a colony,imperial
comfortable,providing or experiencing physical well-being or relief (‘comfy’ is informal),agreeable
coming,of the relatively near future,impending
coming,of the relatively near future,prospective
commercial,connected with or engaged in or sponsored by or used in commerce or commercial enterprises,financial
common,belonging to or participated in by a community as a whole; public,general
common,common to or shared by two or more parties,collective
common,common to or shared by two or more parties,shared
common,common to or shared by two or more parties,general
common,having no special distinction or quality; widely known or commonly encountered; average or ordinary or usual,general
comparable,able to be compared or worthy of comparison,measurable
comparable,able to be compared or worthy of comparison,similar
comparable,able to be compared or worthy of comparison,assessable
compatible,able to exist and perform in harmonious or agreeable combination,suitable
competent,properly or sufficiently qualified or capable or efficient,proficient
complete,having every necessary or normal part or component or step,entire
compulsory,required by rule,obligatory
conceptual,being or characterized by concepts or their formation,cognitive
concrete,capable of being perceived by the senses; not abstract or imaginary,real
confident,having or marked by confidence or assurance,self-assured
confident,having or marked by confidence or assurance,bold
confident,having or marked by confidence or assurance,optimistic
confidential,entrusted with private information and the confidence of another,reliable
confidential,entrusted with private information and the confidence of another,private
confidential,entrusted with private information and the confidence of another,trusted
conscious,knowing and perceiving; having awareness of surroundings and sensations and thoughts,cognitive
conservative,"resistant to change, particularly in relation to politics or religion",resistant
consistent,(sometimes followed by ‘with’) in agreement or consistent or reliable,stable
consistent,(sometimes followed by ‘with’) in agreement or consistent or reliable,reliable
constant,steadfast in purpose or devotion or affection,steadfast
constant,steadfast in purpose or devotion or affection,dedicated
continental,of or pertaining to or typical of Europe,western
continued,without stop or interruption,persistent
continuing,remaining in force or being carried on without letup,enduring
continuous,continuing in time or space without interruption,persistent
contrary,very opposed in nature or character or purpose,conflicting
controversial,marked by or capable of arousing controversy,problematic
controversial,marked by or capable of arousing controversy,debated
controversial,marked by or capable of arousing controversy,debatable
controversial,marked by or capable of arousing controversy,questionable
controversial,marked by or capable of arousing controversy,contentious
controversial,marked by or capable of arousing controversy,disputed
conventional,following accepted customs and proprieties,customary
conventional,following accepted customs and proprieties,normal
convincing,causing one to believe the truth of something,compelling
convincing,causing one to believe the truth of something,effective
cooperative,done with or working with others for a common purpose or benefit,collaborative
cooperative,done with or working with others for a common purpose or benefit,social
corporate,of or belonging to a corporation,organizational
corresponding,accompanying,accompanying
costly,entailing great loss or sacrifice,valuable
costly,entailing great loss or sacrifice,significant
costly,entailing great loss or sacrifice,expensive
crazy,affected with madness or insanity,abnormal
creative,having the ability or power to create,ingenious
creative,having the ability or power to create,imaginative
creative,having the ability or power to create,innovative
creative,having the ability or power to create,resourceful
critical,being in or verging on a state of crisis or emergency,dangerous
crucial,of extreme importance; vital to the resolution of a crisis,vital
cultural,of or relating to the arts and manners that a group favors,artistic
cultural,of or relating to the arts and manners that a group favors,human
dangerous,involving or causing danger or risk; liable to hurt or harm,threatening
dangerous,involving or causing danger or risk; liable to hurt or harm,risky
dangerous,involving or causing danger or risk; liable to hurt or harm,hazardous
dangerous,involving or causing danger or risk; liable to hurt or harm,perilous
dead,no longer having or seeming to have or expecting to have life,extinct
dead,no longer having or seeming to have or expecting to have life,inert
dead,no longer having or seeming to have or expecting to have life,nonliving
dead,no longer having or seeming to have or expecting to have life,inanimate
deadly,causing or capable of causing death,fatal
deaf,lacking or deprived of the sense of hearing wholly or in part,sensory
deaf,lacking or deprived of the sense of hearing wholly or in part,handicapped
dear,dearly loved,cherished
dear,dearly loved,affectionate
decent,conforming to conventions of sexual behavior,moral
deep,relatively deep or strong; affecting one deeply,powerful
deep,relatively deep or strong; affecting one deeply,profound
definite,precise; explicit and clearly defined,unambiguous
definite,precise; explicit and clearly defined,explicit
deliberate,carefully thought out in advance,purposeful
delicate,exquisitely fine and subtle and pleasing; susceptible to injury,pleasing
delicious,variety of sweet eating apples,palatable
delicious,variety of sweet eating apples,flavorful
delicious,variety of sweet eating apples,edible
delighted,greatly pleased,glad
delighted,greatly pleased,happy
dense,permitting little if any light to pass through because of denseness of matter,dark
departmental,of or relating to a department,institutional
departmental,of or relating to a department,administrative
dependent,"relying on or requiring a person or thing for support, supply, or what is needed",subservient
dependent,"relying on or requiring a person or thing for support, supply, or what is needed",needy
depending,being determined by conditions or circumstances that follow,circumstantial
depending,being determined by conditions or circumstances that follow,variable
depressed,lower than previously,diminished
desirable,worth having or seeking or achieving,valuable
desirable,worth having or seeking or achieving,positive
desired,wanted intensely,coveted
desperate,arising from or marked by despair or loss of hope,hopeless
desperate,arising from or marked by despair or loss of hope,distressed
determined,having been learned or found or determined especially by investigation,known
determined,having been learned or found or determined especially by investigation,established
developed,being changed over time so as to be e.g. stronger or more complete or more useful,mature
developing,relating to societies in which capital needed to industrialize is in short supply,economic
devoted,zealous in devotion or affection,enthusiastic
different,unlike in nature or quality or form or degree,diverse
different,unlike in nature or quality or form or degree,varied
differential,relating to or showing a difference,different
difficult,not easy; requiring great physical or mental effort to accomplish or comprehend or endure,complex
digital,displaying numbers rather than scale positions,electronic
diplomatic,relating to or characteristic of diplomacy,tactful
direct,direct in spatial dimensions; proceeding without deviation or interruption; straight and short,linear
disabled,"the total or partial absence of a person's bodily or mental functions, including the absence of a part of a person's body",affected
disabled,"the total or partial absence of a person's bodily or mental functions, including the absence of a part of a person's body",limited
disastrous,(of events) having extremely unfortunate or dire consequences; bringing ruin,negative
discreet,marked by prudence or modesty and wise self-restraint,cautious
discreet,marked by prudence or modesty and wise self-restraint,restrained
distinct,easy to perceive; especially clearly outlined,noticeable
distinctive,of a feature that helps to distinguish a person or thing,special
diverse,many and different,multiple
domestic,of or relating to the home,home
domestic,of or relating to the home,private
dominant,exercising influence or control,powerful
double,used of flowers having more than the usual number of petals in crowded or overlapping arrangements,full
doubtful,open to doubt or suspicion,ambiguous
dreadful,causing fear or dread or terror,scary
driving,having the power of driving or impelling,powerful
driving,having the power of driving or impelling,propelling
drunk,stupefied or excited by a chemical substance (especially alcohol),altered
drunk,stupefied or excited by a chemical substance (especially alcohol),affected
dry,free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet,desiccated
dry,free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet,waterless
dry,free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet,parched
dual,consisting of or involving two parts or components usually in pairs,binary
dual,consisting of or involving two parts or components usually in pairs,composite
due,owed and payable immediately or on demand,financial
due,owed and payable immediately or on demand,obligatory
due,owed and payable immediately or on demand,outstanding
dull,lacking in liveliness or animation,lifeless
dull,lacking in liveliness or animation,unexciting
dull,lacking in liveliness or animation,flat
dull,not having a sharp edge or point,smooth
dull,not having a sharp edge or point,flat
dynamic,characterized by action or forcefulness or force of personality,powerful
eager,having or showing keen interest or intense desire or impatient expectancy,motivated
eager,having or showing keen interest or intense desire or impatient expectancy,keen
early,at or near the beginning of a period of time or course of events or before the usual or expected time,prior
early,at or near the beginning of a period of time or course of events or before the usual or expected time,premature
early,at or near the beginning of a period of time or course of events or before the usual or expected time,temporal
early,at or near the beginning of a period of time or course of events or before the usual or expected time,preceding
eastern,of or characteristic of eastern regions of the United States,geographic
eastern,of or characteristic of eastern regions of the United States,local
easy,posing no difficulty; requiring little effort,manageable
easy,posing no difficulty; requiring little effort,effortless
educational,relating to the process of education,cognitive
educational,relating to the process of education,intellectual
effective,producing or capable of producing an intended result or having a striking effect,productive
elaborate,marked by complexity and richness of detail,ornate
elaborate,marked by complexity and richness of detail,rich
elderly,advanced in years; (‘aged’ is pronounced as two syllables),mature
elected,subject to popular election,appointed
elected,subject to popular election,democratic
electric,using or providing or producing or transmitting or operated by electricity,mechanical
electric,using or providing or producing or transmitting or operated by electricity,technological
electronic,of or relating to electronics; concerned with or using devices that operate on principles governing the behavior of electrons,technological
elegant,refined and tasteful in appearance or behavior or style,stylish
eligible,qualified for or allowed or worthy of being chosen,acceptable
embarrassed,feeling or caused to feel ill at ease or self-conscious or ashamed,uncomfortable
embarrassed,feeling or caused to feel ill at ease or self-conscious or ashamed,uneasy
emotional,determined or actuated by emotion rather than reason,affective
emotional,determined or actuated by emotion rather than reason,reactive
emotional,determined or actuated by emotion rather than reason,sensitive
empty,holding or containing nothing,vacant
empty,holding or containing nothing,devoid
endless,tiresomely long; seemingly without end,continuous
endless,tiresomely long; seemingly without end,protracted
enthusiastic,having or showing great excitement and interest,excited
enthusiastic,having or showing great excitement and interest,involved
enthusiastic,having or showing great excitement and interest,interested
entire,constituting the full quantity or extent; complete,complete
entire,constituting the full quantity or extent; complete,absolute
environmental,of or relating to the external conditions or surroundings,physical
equal,"having the same quantity, value, or measure as another",identical
equal,"having the same quantity, value, or measure as another",uniform
essential,basic and fundamental,basic
essential,basic and fundamental,fundamental
ethical,of or relating to the philosophical study of ethics,principled
ethnic,denoting or deriving from or distinctive of the ways of living built up by a group of people,social
even,divisible by two,divisible
eventual,expected to follow in the indefinite future from causes already operating,probable
everyday,found in the ordinary course of events,normal
everyday,found in the ordinary course of events,typical
evident,clearly revealed to the mind or the senses or judgment,obvious
evil,morally bad or wrong,unethical
evolutionary,of or relating to or produced by evolution,organic
excellent,very good; of the highest quality,fine
excellent,very good; of the highest quality,positive
exceptional,far beyond what is usual in magnitude or degree,significant
exceptional,far beyond what is usual in magnitude or degree,uncommon
exceptional,far beyond what is usual in magnitude or degree,notable
excess,"more than is needed, desired, or required",abundant
excess,"more than is needed, desired, or required",ample
excessive,beyond normal limits,immoderate
exciting,creating or arousing excitement,engaging
exciting,creating or arousing excitement,thrilling
exclusive,excluding much or all; especially all but a particular group or minority,particular
exclusive,excluding much or all; especially all but a particular group or minority,restrictive
exclusive,excluding much or all; especially all but a particular group or minority,limited
executive,having the function of carrying out plans or orders etc.,functional
expected,considered likely or probable to happen or arrive,potential
experienced,having experience; having knowledge or skill from observation or participation,qualified
experimental,relating to or based on experiment,innovative
explicit,precisely and clearly expressed or readily observable; leaving nothing to implication,precise
express,not tacit or implied,plain
extended,fully extended or stretched forth,stretched
extensive,of agriculture; increasing productivity by using large areas with minimal outlay and labor,large-scale
external,happening or arising or located outside or beyond some limits or especially surface,peripheral
extinct,no longer in existence; lost or especially having died out leaving no living representatives,lost
extinct,no longer in existence; lost or especially having died out leaving no living representatives,vanished
extra,"more than is needed, desired, or required",abundant
extreme,of the greatest possible degree or extent or intensity,radical
faint,deficient in magnitude; barely perceptible; lacking clarity or brightness or loudness etc,slight
faithful,steadfast in affection or allegiance,reliable
faithful,steadfast in affection or allegiance,loyal
familiar,well known or easily recognized,common
familiar,well known or easily recognized,recognized
familiar,well known or easily recognized,recognizable
famous,widely known and esteemed,prominent
fantastic,ludicrously odd,unusual
feasible,capable of being done with means at hand and circumstances as they are,doable
federal,of or relating to the central government of a federation,political
female,being the sex (of plant or animal) that produces fertilizable gametes (ova) from which offspring develop,reproductive
fierce,marked by extreme and violent energy,powerful
finished,(of materials or goods) brought to the desired final state,ready
finished,(of materials or goods) brought to the desired final state,prepared
finished,brought to ruin,broken
fiscal,involving financial matters,monetary
fit,meeting adequate standards for a purpose,acceptable
flat,lacking contrast or shading between tones,monochromatic
flat,lacking contrast or shading between tones,even
flexible,capable of being changed,mutable
flexible,capable of being changed,modifiable
following,going or proceeding or coming after in the same direction,later
following,going or proceeding or coming after in the same direction,posterior
foolish,devoid of good sense or judgment,senseless
foreign,of concern to or concerning the affairs of other nations (other than your own),global
formidable,extremely impressive in strength or excellence,strong
forthcoming,at ease in talking to others,sociable
forthcoming,at ease in talking to others,social
forward,at or near or directed toward the front,directional
fragile,easily broken or damaged or destroyed,brittle
fragile,easily broken or damaged or destroyed,breakable
fragrant,pleasant-smelling,aromatic
free,not limited or hampered; not under compulsion or restraint,autonomous
free,not limited or hampered; not under compulsion or restraint,independent
free,costing nothing,affordable
free,costing nothing,inexpensive
free,not occupied or in use,unoccupied
free,not occupied or in use,open
free,not occupied or in use,vacant
frequent,coming at short intervals or habitually,repeated
fresh,recently made,modern
friendly,characteristic of or befitting a friend,amiable
frightened,made afraid,afraid
front,relating to or located in the front,forward
fucking,informal intensifiers,emphatic
full,containing as much or as many as is possible or normal,abundant
full,containing as much or as many as is possible or normal,crowded
full,filled to satisfaction with food or drink,content
full,filled to satisfaction with food or drink,sated
full-time,for the entire time appropriate to an activity,regular
full-time,for the entire time appropriate to an activity,continuous
fun,activities that are enjoyable or amusing,pleasant
funny,arousing or provoking laughter,witty
furious,marked by extreme and violent energy,intense
furious,marked by extreme and violent energy,emotional
future,yet to be or coming,upcoming
future,yet to be or coming,subsequent
gastric,relating to or involving the stomach,anatomical
gastric,relating to or involving the stomach,visceral
gastric,relating to or involving the stomach,digestive
gastric,relating to or involving the stomach,abdominal
gay,bright and pleasant; promoting a feeling of cheer,bright
general,applying to all or most members of a category or group,extensive
generous,willing to give and share unstintingly,altruistic
generous,willing to give and share unstintingly,unselfish
gentle,soft and mild; not harsh or stern or severe,mild
gentle,soft and mild; not harsh or stern or severe,kind
geographical,of or relating to the science of geography,regional
geographical,of or relating to the science of geography,spatial
geographical,of or relating to the science of geography,scientific
geological,of or relating to or based on geology,physical
geological,of or relating to or based on geology,earthly
giant,of great mass; huge and bulky,massive
glad,showing or causing joy and pleasure; especially made happy,cheerful
gold,made from or covered with gold,valuable
golden,having the deep slightly brownish color of gold,brownish
golden,having the deep slightly brownish color of gold,colored
good,promoting or enhancing well-being,advantageous
good,promoting or enhancing well-being,constructive
good,of moral excellence,virtuous
gothic,characteristic of the style of type commonly used for printing German,typographic
gradual,proceeding in small stages,continuous
grammatical,of or pertaining to grammar,formal
grammatical,of or pertaining to grammar,academic
grand,of behavior that is impressive and ambitious in scale or scope,remarkable
graphic,evoking lifelike images within the mind,evocative
graphic,evoking lifelike images within the mind,imaginative
grateful,feeling or showing gratitude,positive
grave,dignified and somber in manner or character and committed to keeping promises,dignified
great,relatively large in size or number or extent; larger than others of its kind,substantial
great,relatively large in size or number or extent; larger than others of its kind,extensive
great,relatively large in size or number or extent; larger than others of its kind,considerable
great,of major significance or importance,notable
green,concerned with or supporting or in conformity with the political principles of the Green Party,ecological
green,concerned with or supporting or in conformity with the political principles of the Green Party,political
gregarious,(of animals) tending to form a group with others of the same species,collective
grey,United States writer of western adventure novels (1875-1939),literary
gross,before any deductions,overall
handicapped,injure permanently,affected
handsome,pleasing in appearance especially by reason of conformity to ideals of form and proportion,pleasing
handy,United States blues musician who transcribed and published traditional blues music (1873-1958),traditional
happy,enjoying or showing or marked by joy or pleasure,positive
happy,enjoying or showing or marked by joy or pleasure,pleased
happy,enjoying or showing or marked by joy or pleasure,pleasant
harmful,causing or capable of causing harm,deleterious
harmful,causing or capable of causing harm,adverse
harmful,causing or capable of causing harm,negative
head,the upper part of the human body or the front part of the body in animals; contains the face and brains,anatomical
head,the upper part of the human body or the front part of the body in animals; contains the face and brains,superior
head,the upper part of the human body or the front part of the body in animals; contains the face and brains,upper
helpless,lacking in or deprived of strength or power,defenseless
hidden,not accessible to view,unseen
high,greater than normal in quantity or amount,substantial
high,greater than normal in quantity or amount,ample
high,greater than normal in quantity or amount,excessive
hilarious,marked by or causing boisterous merriment or convulsive laughter,entertaining
historic,belonging to the past; of what is important or famous in the past,former
historic,belonging to the past; of what is important or famous in the past,significant
historical,of or relating to the study of history,educational
holy,belonging to or derived from or associated with a divine power,sacred
holy,belonging to or derived from or associated with a divine power,spiritual
homeless,without nationality or citizenship,foreign
homeless,without nationality or citizenship,alien
honest,not disposed to cheat or defraud; not deceptive or fraudulent; marked by truth,upright
honest,not disposed to cheat or defraud; not deceptive or fraudulent; marked by truth,ethical
honorable,not disposed to cheat or defraud; not deceptive or fraudulent; marked by truth,reliable
honourable,worthy of being honored; entitled to honor and respect,respectable
horizontal,parallel to or in the plane of the horizon or a base line,planar
horrible,provoking horror,bad
horrible,provoking horror,terrible
horrible,provoking horror,awful
horrible,provoking horror,unpleasant
hostile,characterized by enmity or ill will,aggressive
hot,used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning,warm
hot,used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning,thermal
hot,(extended meanings,intense
hot,(extended meanings,extreme
hot,(extended meanings,fiery
human,characteristic of humanity,living
human,characteristic of humanity,sentient
human,characteristic of humanity,mortal
human,characteristic of humanity,animal
humble,marked by meekness or modesty; not arrogant or prideful,unpretentious
hungry,feeling hunger; feeling a need or desire to eat food,desirous
ideal,of or relating to the philosophical doctrine of the reality of ideas,conceptual
ideal,of or relating to the philosophical doctrine of the reality of ideas,abstract
identical,(of twins) derived from a single egg or ovum,alike
ideological,of or pertaining to or characteristic of an orientation that characterizes the thinking of a group or nation,abstract
imaginative,(used of persons or artifacts) marked by independence and creativity in thought or action,innovative
immediate,having no intervening medium,proximate
immediate,having no intervening medium,instantaneous
immediate,having no intervening medium,unmediated
imminent,close in time; about to occur,prospective
immune,relating to the condition of immunity,invulnerable
important,of great significance or value,meaningful
important,of great significance or value,major
important,of great significance or value,valuable
impossible,not capable of occurring or being accomplished or dealt with,unachievable
impossible,not capable of occurring or being accomplished or dealt with,unattainable
impressive,making a strong or vivid impression,noteworthy
impressive,making a strong or vivid impression,significant
improved,made more desirable or valuable or profitable; especially made ready for use or marketing,desirable
improved,made more desirable or valuable or profitable; especially made ready for use or marketing,better
improved,made more desirable or valuable or profitable; especially made ready for use or marketing,valuable
inappropriate,not suitable for a particular occasion etc,unacceptable
inappropriate,not suitable for a particular occasion etc,improper
inclined,"(often followed by ‘to’) having a preference, disposition, or tendency",predisposed
inclined,"(often followed by ‘to’) having a preference, disposition, or tendency",partial
incongruous,lacking in harmony or compatibility or appropriateness,inappropriate
increased,made greater in size or amount or degree,expanded
increasing,becoming greater or larger,progressive
incredible,beyond belief or understanding,astonishing
incredible,beyond belief or understanding,extraordinary
indigenous,originating where it is found,regional
indigenous,originating where it is found,original
indirect,not direct in spatial dimension; not leading by a straight line or course to a destination,circuitous
indirect,not direct in spatial dimension; not leading by a straight line or course to a destination,devious
indirect,not direct in spatial dimension; not leading by a straight line or course to a destination,curved
individual,being or characteristic of a single thing or person,separate
individual,being or characteristic of a single thing or person,unique
industrial,of or relating to or resulting from industry,manufacturing
industrial,of or relating to or resulting from industry,productive
infinite,having no limits or boundaries in time or space or extent or magnitude,unbounded
inherent,existing as an essential constituent or characteristic,fundamental
initial,occurring at the beginning,primary
innocent,free from evil or guilt,moral
instant,occurring with no delay,immediate
instant,occurring with no delay,rapid
instrumental,relating to or designed for or performed on musical instruments,artistic
insufficient,of a quantity not able to fulfill a need or requirement,lacking
intact,constituting the undiminished entirety; lacking nothing essential especially not damaged,unbroken
integral,of or denoted by an integer,numeric
intelligent,having the capacity for thought and reason especially to a high degree,wise
intelligent,having the capacity for thought and reason especially to a high degree,cognitive
intelligent,having the capacity for thought and reason especially to a high degree,clever
intense,possessing or displaying a distinctive feature to a heightened degree,extreme
intense,possessing or displaying a distinctive feature to a heightened degree,severe
intensive,tending to give force or emphasis,powerful
interactive,used especially of drugs or muscles that work together so the total effect is greater than the sum of the two (or more),combined
interesting,arousing or holding the attention,absorbing
interesting,arousing or holding the attention,stimulating
interim,serving during an intermediate interval of time,transitional
international,concerning or belonging to all or at least two or more nations,worldwide
international,concerning or belonging to all or at least two or more nations,multinational
