hyponym,hypo-definition,hypernym
artistic,relating to or characteristic of art or artists,cultural
artistic,relating to or characteristic of art or artists,creative
ashamed,feeling shame or guilt or embarrassment or remorse,humiliated
asleep,in a state of sleep,inactive
asleep,in a state of sleep,unconscious
asleep,in a state of sleep,dormant
assistant,of or relating to a person who is subordinate to another,subordinate
astonishing,surprising greatly,surprising
astonishing,surprising greatly,remarkable
astonishing,surprising greatly,impressive
atomic,of or relating to or comprising atoms,molecular
attempted,tried unsuccessfully,unsuccessful
attempted,tried unsuccessfully,failed
attractive,pleasing to the eye or mind especially through beauty or charm,beautiful
attractive,pleasing to the eye or mind especially through beauty or charm,pleasing
attractive,pleasing to the eye or mind especially through beauty or charm,charming
automatic,operating with minimal human intervention; independent of external control,independent
automatic,operating with minimal human intervention; independent of external control,autonomous
available,obtainable or accessible and ready for use or service,accessible
available,obtainable or accessible and ready for use or service,ready
average,approximating the statistical norm or average or expected value,common
average,approximating the statistical norm or average or expected value,typical
average,approximating the statistical norm or average or expected value,normal
awake,not in a state of sleep; completely conscious,conscious
aware,(sometimes followed by ‘of’) having or showing knowledge or understanding or realization or perception,conscious
aware,(sometimes followed by ‘of’) having or showing knowledge or understanding or realization or perception,perceptive
aware,(sometimes followed by ‘of’) having or showing knowledge or understanding or realization or perception,informed
aware,(sometimes followed by ‘of’) having or showing knowledge or understanding or realization or perception,knowledgeable
awful,offensive or even (of persons) malicious,unpleasant
awkward,lacking grace or skill in manner or movement or performance,unskillful
awkward,lacking grace or skill in manner or movement or performance,uncoordinated
awkward,lacking grace or skill in manner or movement or performance,unskilled
back,related to or located at the back,posterior
bad,below average in quality or performance,substandard
bad,below average in quality or performance,unsatisfactory
bad,below average in quality or performance,inferior
bad,capable of harming,harmful
bad,capable of harming,detrimental
bad,capable of harming,dangerous
bad,having undesirable or negative qualities,inferior
bad,having undesirable or negative qualities,unfavorable
bad,having undesirable or negative qualities,unpleasant
bad,having undesirable or negative qualities,negative
bad,having undesirable or negative qualities,poor
balanced,being in a state of proper equilibrium,stable
balanced,being in a state of proper equilibrium,harmonious
bald,with no effort to conceal,plain
bald,with no effort to conceal,uncovered
bare,not having a protective covering,unprotected
bare,not having a protective covering,uncovered
bare,not having a protective covering,exposed
basic,pertaining to or constituting a base or basis,primary
basic,pertaining to or constituting a base or basis,foundational
basic,pertaining to or constituting a base or basis,essential
basic,pertaining to or constituting a base or basis,fundamental
beautiful,delighting the senses or exciting intellectual or emotional admiration,attractive
beneficial,promoting or enhancing well-being,positive
beneficial,promoting or enhancing well-being,advantageous
beneficial,promoting or enhancing well-being,favorable
beneficial,promoting or enhancing well-being,helpful
big,above average in size or number or quantity or magnitude or extent,extensive
big,above average in size or number or quantity or magnitude or extent,considerable
binding,executed with proper legal authority,legal
bitter,causing a sharp and acrid taste experience,unpleasant
bitter,causing a sharp and acrid taste experience,sharp
bitter,marked by strong resentment or cynicism,resentful
bitter,marked by strong resentment or cynicism,hostile
bitter,marked by strong resentment or cynicism,cynical
bizarre,conspicuously or grossly unconventional or unusual,unusual
bizarre,conspicuously or grossly unconventional or unusual,strange
bizarre,conspicuously or grossly unconventional or unusual,odd
bizarre,conspicuously or grossly unconventional or unusual,unconventional
black,offering little or no hope,hopeless
bland,lacking taste or flavor or tang,uninteresting
bland,lacking taste or flavor or tang,neutral
bleak,offering little or no hope,dismal
bleak,offering little or no hope,gloomy
blonde,being or having light colored skin and hair and usually blue or grey eyes,pale
blonde,being or having light colored skin and hair and usually blue or grey eyes,fair
bloody,having or covered with or accompanied by blood,red
bodily,of or relating to or belonging to the body,physical
bodily,of or relating to or belonging to the body,organic
bold,fearless and daring,intrepid
bold,fearless and daring,brave
bold,fearless and daring,courageous
bold,fearless and daring,daring
bored,tired of the world,weary
bored,tired of the world,listless
bored,tired of the world,apathetic
bored,tired of the world,uninterested
boring,so lacking in interest as to cause mental weariness,uninteresting
bottom,situated at the bottom or lowest position,lower
bottom,situated at the bottom or lowest position,low
bourgeois,(according to Marxist thought) being of the property-owning class and exploitive of the working class,capitalist
brave,possessing or displaying courage; able to face and deal with danger or fear without flinching,valiant
brave,possessing or displaying courage; able to face and deal with danger or fear without flinching,bold
brief,of short duration or distance,short
brief,of short duration or distance,limited
bright,emitting or reflecting light readily or in large amounts,luminous
bright,emitting or reflecting light readily or in large amounts,illuminated
bright,emitting or reflecting light readily or in large amounts,radiant
brilliant,of surpassing excellence,excellent
brilliant,of surpassing excellence,outstanding
broad,having great (or a certain) extent from one side to the other,large
broken,physically and forcibly separated into pieces or cracked or split,damaged
broken,physically and forcibly separated into pieces or cracked or split,impaired
broken,physically and forcibly separated into pieces or cracked or split,ruined
brown,Scottish botanist who first observed the movement of small particles in fluids now known a Brownian motion (1773-1858),scottish
burning,of immediate import,pressing
burning,of immediate import,critical
burning,of immediate import,urgent
capable,(usually followed by ‘of’) having capacity or ability,qualified
careful,exercising caution or showing care or attention,attentive
careful,exercising caution or showing care or attention,prudent
careful,exercising caution or showing care or attention,conscientious
careful,exercising caution or showing care or attention,mindful
casual,marked by blithe unconcern,carefree
casual,marked by blithe unconcern,unconcerned
casual,marked by blithe unconcern,indifferent
casual,marked by blithe unconcern,relaxed
causal,involving or constituting a cause; causing,effective
causal,involving or constituting a cause; causing,productive
cautious,showing careful forethought,prudent
cautious,showing careful forethought,careful
cautious,showing careful forethought,circumspect
central,in or near a center or constituting a center; the inner area,main
central,in or near a center or constituting a center; the inner area,core
central,in or near a center or constituting a center; the inner area,inner
certain,having or feeling no doubt or uncertainty; confident and assured,assured
certain,having or feeling no doubt or uncertainty; confident and assured,confident
changing,marked by continuous change or effective action,dynamic
changing,marked by continuous change or effective action,variable
characteristic,typical or distinctive,typical
charismatic,possessing an extraordinary ability to attract,engaging
charismatic,possessing an extraordinary ability to attract,influential
charismatic,possessing an extraordinary ability to attract,attractive
charismatic,possessing an extraordinary ability to attract,compelling
charismatic,possessing an extraordinary ability to attract,appealing
charismatic,possessing an extraordinary ability to attract,persuasive
charming,pleasing or delighting,agreeable
charming,pleasing or delighting,pleasing
charming,pleasing or delighting,pleasant
cheap,relatively low in price or charging low prices,low-cost
cheap,relatively low in price or charging low prices,affordable
cheerful,being full of or promoting cheer; having or showing good spirits,positive
chemical,relating to or used in chemistry,scientific
chemical,relating to or used in chemistry,physical
chosen,the name for Korea as a Japanese province (1910-1945),historical
chosen,the name for Korea as a Japanese province (1910-1945),colonial
chronic,being long-lasting and recurrent or characterized by long suffering,long-lasting
chronic,being long-lasting and recurrent or characterized by long suffering,persistent
chronic,being long-lasting and recurrent or characterized by long suffering,enduring
chronic,being long-lasting and recurrent or characterized by long suffering,long-term
circular,having the shape or form of a circle,rounded
circular,having the shape or form of a circle,geometric
civic,of or relating or belonging to a city,local
civic,of or relating or belonging to a city,urban
civil,not rude; marked by satisfactory (or especially minimal) adherence to social usages and sufficient but not noteworthy consideration for others,respectful
civil,not rude; marked by satisfactory (or especially minimal) adherence to social usages and sufficient but not noteworthy consideration for others,courteous
classical,"of or relating to the first significant period of a civilization, culture, area of study, etc.",ancient
classical,"of or relating to the first significant period of a civilization, culture, area of study, etc.",historical
classical,"of or relating to the first significant period of a civilization, culture, area of study, etc.",traditional
clean,free from dirt or impurities; or having clean habits,pure
clean,free from dirt or impurities; or having clean habits,unsoiled
clean,free from dirt or impurities; or having clean habits,sanitary
clear,free from clouds or mist or haze,visible
clear,free from clouds or mist or haze,transparent
clear,readily apparent to the mind,apparent
clear,readily apparent to the mind,evident
clear,readily apparent to the mind,obvious
clinical,relating to a clinic or conducted in or as if in a clinic and depending on direct observation of patients,medical
close,close in relevance or relationship,related
close,close in relevance or relationship,connected
close,close in relevance or relationship,associated
close,at or within a short distance in space or time or having elements near each other,adjacent
close,at or within a short distance in space or time or having elements near each other,proximate
closed,not open or affording passage or access,sealed
cold,having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration,cool
cold,extended meanings; especially of psychological coldness; without human warmth or emotion,aloof
cold,extended meanings; especially of psychological coldness; without human warmth or emotion,indifferent
collective,forming a whole or aggregate,unified
collective,forming a whole or aggregate,combined
collective,forming a whole or aggregate,aggregate
colonial,of or relating to or characteristic of or inhabiting a colony,foreign
color-blind,unable to distinguish one or more chromatic colors,impaired
colorful,having much or varied color,bright
colorful,having much or varied color,varied
colorful,having much or varied color,vivid
coloured,having color or a certain color; sometimes used in combination,painted
coloured,having color or a certain color; sometimes used in combination,tinted
colourful,striking in variety and interest,varied
comfortable,providing or experiencing physical well-being or relief (‘comfy’ is informal),soothing
comfortable,providing or experiencing physical well-being or relief (‘comfy’ is informal),pleasant
coming,of the relatively near future,future
commercial,connected with or engaged in or sponsored by or used in commerce or commercial enterprises,economic
commercial,connected with or engaged in or sponsored by or used in commerce or commercial enterprises,business
commercial,connected with or engaged in or sponsored by or used in commerce or commercial enterprises,industrial
common,belonging to or participated in by a community as a whole; public,public
common,belonging to or participated in by a community as a whole; public,collective
common,belonging to or participated in by a community as a whole; public,shared
common,common to or shared by two or more parties,joint
common,having no special distinction or quality; widely known or commonly encountered; average or ordinary or usual,ordinary
common,having no special distinction or quality; widely known or commonly encountered; average or ordinary or usual,average
common,having no special distinction or quality; widely known or commonly encountered; average or ordinary or usual,typical
communist,relating to or marked by communism,political
communist,relating to or marked by communism,ideological
comparative,relating to or based on or involving comparison,evaluative
comparative,relating to or based on or involving comparison,relational
comparative,relating to or based on or involving comparison,analytical
compatible,able to exist and perform in harmonious or agreeable combination,agreeable
compatible,able to exist and perform in harmonious or agreeable combination,harmonious
competent,properly or sufficiently qualified or capable or efficient,able
competent,properly or sufficiently qualified or capable or efficient,qualified
competent,properly or sufficiently qualified or capable or efficient,capable
competent,properly or sufficiently qualified or capable or efficient,efficient
competent,properly or sufficiently qualified or capable or efficient,adequate
complementary,of words or propositions so related that each is the negation of the other,contradictory
complementary,of words or propositions so related that each is the negation of the other,antithetical
complementary,of words or propositions so related that each is the negation of the other,opposite
complete,having every necessary or normal part or component or step,total
complete,having every necessary or normal part or component or step,full
complete,having every necessary or normal part or component or step,whole
complex,complicated in structure; consisting of interconnected parts,involved
complex,complicated in structure; consisting of interconnected parts,elaborate
comprehensive,including all or everything,total
comprehensive,including all or everything,complete
comprehensive,including all or everything,extensive
comprehensive,including all or everything,inclusive
comprehensive,including all or everything,broad
compulsory,required by rule,necessary
conceptual,being or characterized by concepts or their formation,intellectual
conceptual,being or characterized by concepts or their formation,abstract
conceptual,being or characterized by concepts or their formation,theoretical
concerned,feeling or showing worry or solicitude,anxious
concerned,feeling or showing worry or solicitude,uneasy
concerned,feeling or showing worry or solicitude,apprehensive
concrete,capable of being perceived by the senses; not abstract or imaginary,material
concrete,capable of being perceived by the senses; not abstract or imaginary,physical
concrete,capable of being perceived by the senses; not abstract or imaginary,tangible
concrete,capable of being perceived by the senses; not abstract or imaginary,perceptible
confident,having or marked by confidence or assurance,secure
conscious,knowing and perceiving; having awareness of surroundings and sensations and thoughts,alert
conscious,knowing and perceiving; having awareness of surroundings and sensations and thoughts,aware
conscious,knowing and perceiving; having awareness of surroundings and sensations and thoughts,perceptive
conscious,knowing and perceiving; having awareness of surroundings and sensations and thoughts,sentient
conservative,"resistant to change, particularly in relation to politics or religion",traditional
considerable,large or relatively large in number or amount or extent or degree,significant
considerable,large or relatively large in number or amount or extent or degree,substantial
considerable,large or relatively large in number or amount or extent or degree,large
constant,uninterrupted in time and indefinitely long continuing,uninterrupted
constant,uninterrupted in time and indefinitely long continuing,unending
constant,uninterrupted in time and indefinitely long continuing,continuous
constant,steadfast in purpose or devotion or affection,loyal
constant,steadfast in purpose or devotion or affection,devoted
constant,steadfast in purpose or devotion or affection,faithful
constructive,constructing or tending to construct or improve or promote development,productive
constructive,constructing or tending to construct or improve or promote development,beneficial
constructive,constructing or tending to construct or improve or promote development,positive
constructive,constructing or tending to construct or improve or promote development,helpful
contemporary,characteristic of the present,modern
contemporary,characteristic of the present,current
content,satisfied or showing satisfaction with things as they are,happy
content,satisfied or showing satisfaction with things as they are,satisfied
content,satisfied or showing satisfaction with things as they are,pleased
continental,of or pertaining to or typical of Europe,european
continued,without stop or interruption,steady
continued,without stop or interruption,uninterrupted
continued,without stop or interruption,constant
continued,without stop or interruption,unbroken
continuing,remaining in force or being carried on without letup,uninterrupted
continuing,remaining in force or being carried on without letup,constant
continuing,remaining in force or being carried on without letup,persistent
continuing,remaining in force or being carried on without letup,ongoing
continuous,continuing in time or space without interruption,steady
continuous,continuing in time or space without interruption,constant
continuous,continuing in time or space without interruption,unbroken
contrary,very opposed in nature or character or purpose,hostile
contrary,very opposed in nature or character or purpose,antagonistic
conventional,following accepted customs and proprieties,ordinary
conventional,following accepted customs and proprieties,standard
conventional,following accepted customs and proprieties,traditional
convincing,causing one to believe the truth of something,credible
convincing,causing one to believe the truth of something,persuasive
cooperative,done with or working with others for a common purpose or benefit,joint
corporate,of or belonging to a corporation,commercial
corporate,of or belonging to a corporation,business
corporate,of or belonging to a corporation,institutional
correct,free from error; especially conforming to fact or truth,true
correct,free from error; especially conforming to fact or truth,accurate
correct,free from error; especially conforming to fact or truth,proper
correct,free from error; especially conforming to fact or truth,valid
corresponding,accompanying,related
corresponding,accompanying,associated
corresponding,accompanying,connected
costly,entailing great loss or sacrifice,onerous
costly,entailing great loss or sacrifice,burdensome
creative,having the ability or power to create,productive
creative,having the ability or power to create,original
critical,marked by a tendency to find and call attention to errors and flaws,discerning
critical,marked by a tendency to find and call attention to errors and flaws,analytical
critical,marked by a tendency to find and call attention to errors and flaws,judgmental
critical,urgently needed; absolutely necessary,necessary
critical,urgently needed; absolutely necessary,indispensable
critical,urgently needed; absolutely necessary,essential
critical,being in or verging on a state of crisis or emergency,severe
critical,being in or verging on a state of crisis or emergency,dire
critical,being in or verging on a state of crisis or emergency,urgent
critical,being in or verging on a state of crisis or emergency,serious
crucial,of extreme importance; vital to the resolution of a crisis,significant
cultural,of or relating to the arts and manners that a group favors,social
curious,eager to investigate and learn or learn more (sometimes about others' concerns),inquisitive
curious,eager to investigate and learn or learn more (sometimes about others' concerns),eager
curious,eager to investigate and learn or learn more (sometimes about others' concerns),investigative
curious,eager to investigate and learn or learn more (sometimes about others' concerns),interested
cute,attractive especially by means of smallness or prettiness or quaintness,attractive
cute,attractive especially by means of smallness or prettiness or quaintness,pretty
cute,attractive especially by means of smallness or prettiness or quaintness,charming
damaging,(sometimes followed by ‘to’) causing harm or injury,injurious
damaging,(sometimes followed by ‘to’) causing harm or injury,harmful
damp,slightly wet,humid
damp,slightly wet,wet
dark,devoid of or deficient in light or brightness; shadowed or black,shadowy
dark,devoid of or deficient in light or brightness; shadowed or black,dim
dead,no longer having or seeming to have or expecting to have life,lifeless
deadly,causing or capable of causing death,harmful
deadly,causing or capable of causing death,dangerous
deaf,lacking or deprived of the sense of hearing wholly or in part,impaired
deaf,lacking or deprived of the sense of hearing wholly or in part,disabled
dear,dearly loved,valued
dear,dearly loved,esteemed
dear,dearly loved,precious
decent,conforming to conventions of sexual behavior,conventional
decent,conforming to conventions of sexual behavior,proper
decent,conforming to conventions of sexual behavior,respectable
decent,conforming to conventions of sexual behavior,appropriate
decisive,determining or having the power to determine an outcome,influential
decisive,determining or having the power to determine an outcome,powerful
decorative,serving an esthetic rather than a useful purpose,artistic
decorative,serving an esthetic rather than a useful purpose,aesthetic
deep,relatively deep or strong; affecting one deeply,strong
deep,relatively deep or strong; affecting one deeply,intense
defensive,intended or appropriate for defending against or deterring aggression or attack,preventive
defensive,intended or appropriate for defending against or deterring aggression or attack,protective
definite,precise; explicit and clearly defined,clear
definite,precise; explicit and clearly defined,specific
deliberate,carefully thought out in advance,premeditated
deliberate,carefully thought out in advance,considered
deliberate,carefully thought out in advance,planned
delicate,exquisitely fine and subtle and pleasing; susceptible to injury,subtle
delicate,exquisitely fine and subtle and pleasing; susceptible to injury,fine
delicate,easily broken or damaged or destroyed,vulnerable
delicate,easily broken or damaged or destroyed,breakable
delicate,easily broken or damaged or destroyed,weak
delicious,variety of sweet eating apples,sweet
delicious,variety of sweet eating apples,tasty
delicious,variety of sweet eating apples,appetizing
delighted,greatly pleased,content
delighted,greatly pleased,pleased
delightful,greatly pleasing or entertaining,enjoyable
delightful,greatly pleasing or entertaining,pleasant
delightful,greatly pleasing or entertaining,agreeable
democratic,belong to or relating to the Democratic Party,political
democratic,belong to or relating to the Democratic Party,partisan
dense,permitting little if any light to pass through because of denseness of matter,opaque
departmental,of or relating to a department,organizational
dependent,"relying on or requiring a person or thing for support, supply, or what is needed",reliant
depending,being determined by conditions or circumstances that follow,conditional
depressed,lower than previously,lower
depressed,lower than previously,reduced
desirable,worth having or seeking or achieving,favorable
desirable,worth having or seeking or achieving,good
desirable,worth having or seeking or achieving,beneficial
desired,wanted intensely,wanted
desired,wanted intensely,preferred
detailed,developed or executed with care and in minute detail,careful
detailed,developed or executed with care and in minute detail,thorough
developed,being changed over time so as to be e.g. stronger or more complete or more useful,refined
developed,being changed over time so as to be e.g. stronger or more complete or more useful,evolved
developed,being changed over time so as to be e.g. stronger or more complete or more useful,improved
developed,being changed over time so as to be e.g. stronger or more complete or more useful,advanced
developed,being changed over time so as to be e.g. stronger or more complete or more useful,matured
devoted,zealous in devotion or affection,passionate
devoted,zealous in devotion or affection,dedicated
devoted,zealous in devotion or affection,loyal
devoted,zealous in devotion or affection,affectionate
devoted,zealous in devotion or affection,faithful
different,unlike in nature or quality or form or degree,distinct
differential,relating to or showing a difference,distinct
differential,relating to or showing a difference,relative
differential,relating to or showing a difference,disparate
differential,relating to or showing a difference,divergent
differential,relating to or showing a difference,comparative
difficult,not easy; requiring great physical or mental effort to accomplish or comprehend or endure,challenging
difficult,not easy; requiring great physical or mental effort to accomplish or comprehend or endure,arduous
difficult,not easy; requiring great physical or mental effort to accomplish or comprehend or endure,taxing
difficult,not easy; requiring great physical or mental effort to accomplish or comprehend or endure,onerous
difficult,not easy; requiring great physical or mental effort to accomplish or comprehend or endure,demanding
difficult,not easy; requiring great physical or mental effort to accomplish or comprehend or endure,tough
digital,displaying numbers rather than scale positions,numeric
diplomatic,relating to or characteristic of diplomacy,international
diplomatic,relating to or characteristic of diplomacy,political
direct,direct in spatial dimensions; proceeding without deviation or interruption; straight and short,uninterrupted
dirty,soiled or likely to soil with dirt or grime,unsanitary
dirty,(of behavior or especially language) characterized by obscenity or indecency,vulgar
dirty,(of behavior or especially language) characterized by obscenity or indecency,offensive
dirty,(of behavior or especially language) characterized by obscenity or indecency,obscene
dirty,(of behavior or especially language) characterized by obscenity or indecency,indecent
disabled,"the total or partial absence of a person's bodily or mental functions, including the absence of a part of a person's body",impaired
disastrous,(of events) having extremely unfortunate or dire consequences; bringing ruin,unfortunate
disastrous,(of events) having extremely unfortunate or dire consequences; bringing ruin,ruinous
disciplinary,relating to discipline in behavior,regulatory
disciplinary,relating to discipline in behavior,behavioral
discreet,marked by prudence or modesty and wise self-restraint,prudent
distant,separated in space or coming from or going to a distance,far
distant,separated in space or coming from or going to a distance,separate
distinct,easy to perceive; especially clearly outlined,clear
distinct,easy to perceive; especially clearly outlined,evident
distinct,easy to perceive; especially clearly outlined,obvious
distinct,easy to perceive; especially clearly outlined,visible
distinctive,of a feature that helps to distinguish a person or thing,identifying
distinctive,of a feature that helps to distinguish a person or thing,characteristic
distinctive,of a feature that helps to distinguish a person or thing,particular
diverse,many and different,mixed
diverse,many and different,assorted
diverse,many and different,varied
domestic,of concern to or concerning the internal affairs of a nation,national
domestic,of concern to or concerning the internal affairs of a nation,internal
domestic,of or relating to the home,residential
dominant,exercising influence or control,authoritative
dominant,exercising influence or control,influential
dominant,exercising influence or control,controlling
double,used of flowers having more than the usual number of petals in crowded or overlapping arrangements,abundant
double,used of flowers having more than the usual number of petals in crowded or overlapping arrangements,multiple
double,used of flowers having more than the usual number of petals in crowded or overlapping arrangements,excessive
doubtful,open to doubt or suspicion,questionable
doubtful,open to doubt or suspicion,uncertain
dramatic,suitable to or characteristic of drama,emotional
dramatic,suitable to or characteristic of drama,theatrical
dramatic,suitable to or characteristic of drama,expressive
dreadful,causing fear or dread or terror,terrifying
driving,having the power of driving or impelling,motivating
drunk,stupefied or excited by a chemical substance (especially alcohol),impaired
dry,free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet,dehydrated
dry,free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet,arid
dual,consisting of or involving two parts or components usually in pairs,multiple
dual,consisting of or involving two parts or components usually in pairs,paired
due,owed and payable immediately or on demand,payable
dull,lacking in liveliness or animation,monotonous
dull,lacking in liveliness or animation,uninteresting
dull,not having a sharp edge or point,rounded
dynamic,characterized by action or forcefulness or force of personality,forceful
dynamic,characterized by action or forcefulness or force of personality,energetic
eager,having or showing keen interest or intense desire or impatient expectancy,enthusiastic
eager,having or showing keen interest or intense desire or impatient expectancy,impatient
eager,having or showing keen interest or intense desire or impatient expectancy,interested
early,at or near the beginning of a period of time or course of events or before the usual or expected time,initial
eastern,of or characteristic of eastern regions of the United States,american
eastern,of or characteristic of eastern regions of the United States,regional
easy,posing no difficulty; requiring little effort,straightforward
easy,posing no difficulty; requiring little effort,undemanding
easy,posing no difficulty; requiring little effort,simple
economic,"of or relating to an economy, the system of production and management of material wealth",material
educational,relating to the process of education,didactic
educational,relating to the process of education,informative
educational,relating to the process of education,instructive
effective,producing or capable of producing an intended result or having a striking effect,useful
effective,producing or capable of producing an intended result or having a striking effect,successful
elaborate,marked by complexity and richness of detail,complex
elaborate,marked by complexity and richness of detail,intricate
elderly,advanced in years; (‘aged’ is pronounced as two syllables),old
elected,subject to popular election,chosen
elected,subject to popular election,selected
electoral,of or relating to elections,political
electoral,of or relating to elections,civic
electoral,of or relating to elections,democratic
electric,using or providing or producing or transmitting or operated by electricity,powered
electrical,relating to or concerned with electricity,physical
electrical,relating to or concerned with electricity,scientific
electrical,relating to or concerned with electricity,technological
elegant,refined and tasteful in appearance or behavior or style,tasteful
eligible,qualified for or allowed or worthy of being chosen,qualified
eligible,qualified for or allowed or worthy of being chosen,suitable
eligible,qualified for or allowed or worthy of being chosen,appropriate
eligible,qualified for or allowed or worthy of being chosen,fit
eligible,qualified for or allowed or worthy of being chosen,worthy
embarrassed,feeling or caused to feel ill at ease or self-conscious or ashamed,ashamed
embarrassed,feeling or caused to feel ill at ease or self-conscious or ashamed,self-conscious
